ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/04/2021,Adult,Bantry General Hospital,150,110,10,2,272
29/04/2021,Adult,Beaumont Hospital,"3,241",937,445,186,"4,808"
29/04/2021,Adult,Cavan General Hospital,250,60,11,0,322
29/04/2021,Adult,Connolly Hospital Blanchardstown,669,84,22,13,789
29/04/2021,Adult,Coombe Women and Infants University Hospital,144,33,2,2,181
29/04/2021,Adult,Cork University Hospital,664,219,143,160,"1,187"
29/04/2021,Adult,Cork University Maternity Hospital,297,70,54,183,604
29/04/2021,Adult,Croom Orthopaedic Hospital,522,284,108,4,918
29/04/2021,Adult,Ennis Hospital,272,125,52,2,452
29/04/2021,Adult,Galway University Hospitals,"3,560","1,407","1,165","2,167","8,299"
29/04/2021,Adult,Kilcreene Regional Orthopaedic Hospital,176,11,8,2,197
29/04/2021,Adult,Letterkenny University Hospital,"1,201",874,453,461,"2,990"
29/04/2021,Adult,Louth County Hospital,494,94,15,2,606
29/04/2021,Adult,Mallow General Hospital,135,52,13,10,211
29/04/2021,Adult,Mater Misericordiae University Hospital,"2,914",901,502,939,"5,256"
29/04/2021,Adult,Mayo University Hospital,468,196,183,311,"1,159"
29/04/2021,Adult,Mercy University Hospital,485,169,153,200,"1,006"
29/04/2021,Adult,Midland Regional Hospital Mullingar,460,230,109,8,808
29/04/2021,Adult,Midland Regional Hospital Portlaoise,292,113,69,36,511
29/04/2021,Adult,Midland Regional Hospital Tullamore,837,121,121,196,"1,275"
29/04/2021,Adult,Naas General Hospital,195,110,55,24,384
29/04/2021,Adult,National Orthopaedic Hospital Cappagh,"1,094",212,48,15,"1,369"
29/04/2021,Adult,Nenagh Hospital,579,380,588,281,"1,829"
29/04/2021,Adult,Our Lady of Lourdes Hospital Drogheda,463,140,43,0,647
29/04/2021,Adult,Our Lady's Hospital Navan,480,134,64,44,723
29/04/2021,Adult,Portiuncula University Hospital,251,78,90,91,509
29/04/2021,Adult,Roscommon University Hospital,502,185,138,86,912
29/04/2021,Adult,Royal Victoria Eye and Ear Hospital,"1,159",344,204,136,"1,843"
29/04/2021,Adult,Sligo University Hospital,"1,526",477,351,357,"2,712"
29/04/2021,Adult,South Infirmary Victoria University Hospital,"1,905",438,113,121,"2,577"
29/04/2021,Adult,South Tipperary General Hospital,161,16,2,0,180
29/04/2021,Adult,St. Columcille's Hospital,448,157,36,23,665
29/04/2021,Adult,St. James's Hospital,"2,921",981,769,"1,336","6,007"
29/04/2021,Adult,St. John's Hospital Limerick,578,238,276,267,"1,359"
29/04/2021,Adult,St. Luke's General Hospital Kilkenny,379,191,140,189,900
29/04/2021,Adult,St. Michael's Hospital,446,109,51,49,655
