ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
25/01/2024,Adult,Bantry General Hospital,96,38,8,24,165
25/01/2024,Adult,Beaumont Hospital,"4,773","1,652",472,304,"7,200"
25/01/2024,Adult,Cavan General Hospital,545,7,0,5,557
25/01/2024,Adult,Connolly Hospital Blanchardstown,985,70,0,0,"1,055"
25/01/2024,Adult,Coombe Women and Infants University Hospital,117,61,17,4,198
25/01/2024,Adult,Cork University Hospital,793,246,141,209,"1,389"
25/01/2024,Adult,Cork University Maternity Hospital,510,145,50,16,721
25/01/2024,Adult,Croom Orthopaedic Hospital,353,3,0,0,356
25/01/2024,Adult,Ennis Hospital,420,23,0,0,443
25/01/2024,Adult,Galway University Hospitals,"5,311","2,079",767,"1,476","9,633"
25/01/2024,Adult,Kilcreene Regional Orthopaedic Hospital,587,132,31,10,760
25/01/2024,Adult,Letterkenny University Hospital,"1,053",186,92,162,"1,493"
25/01/2024,Adult,Louth County Hospital,403,26,0,0,429
25/01/2024,Adult,Mallow General Hospital,234,80,18,0,332
25/01/2024,Adult,Mater Misericordiae University Hospital,"3,452",940,442,832,"5,666"
25/01/2024,Adult,Mayo University Hospital,601,137,11,13,762
25/01/2024,Adult,Mercy University Hospital,596,207,60,15,878
25/01/2024,Adult,Midland Regional Hospital Mullingar,758,289,9,0,"1,055"
25/01/2024,Adult,Midland Regional Hospital Portlaoise,302,52,14,18,386
25/01/2024,Adult,Midland Regional Hospital Tullamore,"1,026",200,12,0,"1,238"
25/01/2024,Adult,Naas General Hospital,199,17,0,0,216
25/01/2024,Adult,National Orthopaedic Hospital Cappagh,"1,488",402,38,8,"1,935"
25/01/2024,Adult,Nenagh Hospital,772,45,0,0,817
25/01/2024,Adult,Our Lady of Lourdes Hospital Drogheda,739,89,0,0,828
25/01/2024,Adult,Our Lady's Hospital Navan,698,76,7,4,785
25/01/2024,Adult,Portiuncula University Hospital,418,124,17,0,559
25/01/2024,Adult,Roscommon University Hospital,546,210,42,44,842
25/01/2024,Adult,Royal Victoria Eye and Ear Hospital,"2,132",679,189,100,"3,100"
25/01/2024,Adult,Sligo University Hospital,"1,580",449,134,102,"2,265"
25/01/2024,Adult,South Infirmary Victoria University Hospital,"2,659",788,223,294,"3,965"
25/01/2024,Adult,St. Columcille's Hospital,320,85,69,22,495
25/01/2024,Adult,St. James's Hospital,"3,612","1,655",893,841,"7,001"
25/01/2024,Adult,St. John's Hospital Limerick,623,153,0,0,776
25/01/2024,Adult,St. Luke's General Hospital Kilkenny,592,212,91,59,953
25/01/2024,Adult,St. Michael's Hospital,602,169,89,19,880
25/01/2024,Adult,St. Vincent's University Hospital,"2,579",625,281,332,"3,817"
25/01/2024,Adult,Tallaght University Hospital,"2,556",400,114,98,"3,168"
25/01/2024,Adult,Tipperary University Hospital,374,46,0,0,420
25/01/2024,Adult,University Hospital Kerry,248,2,0,0,250
25/01/2024,Adult,University Hospital Limerick,"1,716",836,81,7,"2,639"
25/01/2024,Adult,University Hospital Waterford,"2,987",969,540,758,"5,254"
25/01/2024,Adult,Wexford General Hospital,474,127,53,43,697
25/01/2024,Child,Beaumont Hospital,7,6,0,0,13
25/01/2024,Child,Cavan General Hospital,20,1,0,3,24
25/01/2024,Child,Children's Health Ireland,"2,879","1,845",888,"1,001","6,614"
25/01/2024,Child,Cork University Hospital,130,78,38,11,258
25/01/2024,Child,Croom Orthopaedic Hospital,5,0,0,0,5
25/01/2024,Child,Ennis Hospital,13,0,0,0,13
25/01/2024,Child,Galway University Hospitals,456,124,45,73,698
25/01/2024,Child,Letterkenny University Hospital,32,8,0,5,44
25/01/2024,Child,Mayo University Hospital,5,0,0,3,8
25/01/2024,Child,Mercy University Hospital,76,27,2,0,105
25/01/2024,Child,Midland Regional Hospital Mullingar,23,7,0,0,30
25/01/2024,Child,Midland Regional Hospital Portlaoise,7,0,0,0,7
25/01/2024,Child,Midland Regional Hospital Tullamore,220,8,0,0,227
25/01/2024,Child,National Orthopaedic Hospital Cappagh,90,75,16,0,181
25/01/2024,Child,Nenagh Hospital,8,0,0,0,8
25/01/2024,Child,Our Lady of Lourdes Hospital Drogheda,93,20,0,0,113
25/01/2024,Child,Portiuncula University Hospital,46,0,0,0,46
25/01/2024,Child,Royal Victoria Eye and Ear Hospital,65,51,7,2,125
25/01/2024,Child,Sligo University Hospital,231,54,2,2,288
25/01/2024,Child,South Infirmary Victoria University Hospital,226,17,6,2,251
25/01/2024,Child,St. John's Hospital Limerick,1,0,0,0,1
25/01/2024,Child,St. Luke's General Hospital Kilkenny,3,0,0,0,3
25/01/2024,Child,Tipperary University Hospital,7,0,0,0,7
25/01/2024,Child,University Hospital Kerry,20,0,0,0,20
25/01/2024,Child,University Hospital Limerick,174,209,28,0,411
25/01/2024,Child,University Hospital Waterford,258,85,14,9,365
25/01/2024,Child,Wexford General Hospital,32,11,2,0,45
29/02/2024,Adult,Bantry General Hospital,97,33,14,27,171
29/02/2024,Adult,Beaumont Hospital,"5,153","1,707",568,378,"7,806"
