ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/04/2021,Adult,Anaesthetics,204,78,11,0,293
29/04/2021,Adult,Breast Surgery,84,16,17,24,142
29/04/2021,Adult,Cardio-Thoracic Surgery,182,74,49,63,369
29/04/2021,Adult,Cardiology,"2,812",771,262,210,"4,055"
29/04/2021,Adult,Clinical Immunology,140,40,5,58,243
29/04/2021,Adult,Dental Surgery,31,7,7,7,51
29/04/2021,Adult,Dermatology,649,87,118,62,916
29/04/2021,Adult,Endocrinology,18,7,9,11,44
29/04/2021,Adult,Gastro-Enterology,237,89,66,77,470
29/04/2021,Adult,Gastro-Intestinal Surgery,196,50,50,168,464
29/04/2021,Adult,General Medicine,201,59,29,9,297
29/04/2021,Adult,General Surgery,"6,812","2,725","1,466","1,776","12,779"
29/04/2021,Adult,Geriatric Medicine,9,17,2,9,38
29/04/2021,Adult,Gynaecology,"2,839",979,595,831,"5,244"
29/04/2021,Adult,Haematology,26,0,0,0,26
29/04/2021,Adult,Hepato-Biliary Surgery,17,11,15,41,83
29/04/2021,Adult,Maxillo-Facial,231,64,110,235,640
29/04/2021,Adult,Nephrology,39,19,2,2,62
29/04/2021,Adult,Neurology,185,30,22,43,280
29/04/2021,Adult,Neurosurgery,255,127,112,22,515
29/04/2021,Adult,Obstetrics,7,7,0,0,14
29/04/2021,Adult,Oncology,38,5,2,0,45
29/04/2021,Adult,Ophthalmology,"4,501","1,212",739,865,"7,317"
29/04/2021,Adult,Oral Surgery,192,81,44,104,422
29/04/2021,Adult,Orthopaedics,"5,061","1,794","1,290","1,592","9,737"
29/04/2021,Adult,Otolaryngology (ENT),"1,635",632,577,672,"3,516"
29/04/2021,Adult,Pain Relief,"2,494","1,030",670,975,"5,169"
29/04/2021,Adult,Plastic Surgery,"1,905",687,538,729,"3,859"
29/04/2021,Adult,Radiology,115,136,81,83,415
29/04/2021,Adult,Respiratory Medicine,324,55,71,110,560
29/04/2021,Adult,Rheumatology,291,79,105,56,531
29/04/2021,Adult,Small Volume Specialties,5,2,0,2,9
29/04/2021,Adult,Urology,"5,016","1,746","1,251","1,171","9,184"
29/04/2021,Adult,Vascular Surgery,722,266,183,246,"1,417"
29/04/2021,Child,Cardio-Thoracic Surgery,61,9,2,0,72
29/04/2021,Child,Clinical Immunology,77,23,15,12,127
29/04/2021,Child,Dental Surgery,81,46,71,92,290
29/04/2021,Child,Dermatology,4,2,0,2,8
29/04/2021,Child,Developmental Paediatrics,0,0,4,2,6
29/04/2021,Child,General Surgery,167,51,61,24,303
29/04/2021,Child,Gynaecology,4,2,4,0,10
29/04/2021,Child,Immunology,53,13,18,13,97
29/04/2021,Child,Maxillo-Facial,33,22,30,25,110
29/04/2021,Child,Neonatology,4,2,0,2,8
29/04/2021,Child,Neurosurgery,4,2,0,0,6
29/04/2021,Child,Ophthalmology,297,112,141,70,620
29/04/2021,Child,Oral Surgery,15,11,6,6,38
29/04/2021,Child,Orthopaedics,239,57,43,18,357
