Archive_Date,Group,Hospital_HIPE,Hospital,Specialty_HIPE1,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 6-9 Months,292
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15,15-18 Months,22
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,16-64,18 Months +,16
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,0-15, 0-3 Months,62
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,0-15, 6-9 Months,37
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,0-15, 9-12 Months,31
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,16-64, 3-6 Months,6
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,16-64,12-15 Months,1
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15,15-18 Months,223
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64,18 Months +,125
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15,15-18 Months,377
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15,18 Months +,1103
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,16-64, 0-3 Months,17
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,16-64, 9-12 Months,18
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15,15-18 Months,107
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64, 0-3 Months,15
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64,15-18 Months,4
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64,18 Months +,35
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 0-3 Months,702
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 3-6 Months,554
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15,12-15 Months,104
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 0-3 Months,23
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 6-9 Months,26
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 9-12 Months,20
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64,12-15 Months,9
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64,15-18 Months,10
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64,15-18 Months,6
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15, 6-9 Months,28
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1910,Paed Metabolic Medicine,Child,16-64,18 Months +,2
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 6-9 Months,59
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 9-12 Months,48
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15,18 Months +,41
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64, 0-3 Months,2
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64, 3-6 Months,1
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64, 9-12 Months,3
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64,12-15 Months,2
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15,15-18 Months,170
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64,15-18 Months,11
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 0-3 Months,697
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 6-9 Months,325
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 9-12 Months,310
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64, 3-6 Months,14
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64, 6-9 Months,18
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64,12-15 Months,21
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 6-9 Months,30
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,16-64,15-18 Months,10
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,16-64,18 Months +,37
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,2102,Child/Adolescent Psychiatry,Child,16-64, 0-3 Months,4
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15, 0-3 Months,118
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15, 9-12 Months,74
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15,18 Months +,552
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64, 0-3 Months,4
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 0-3 Months,603
28/01/2021,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 3-6 Months,458
