ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
25/01/2024,Adult,Bantry General Hospital,626,218,63,37,944
25/01/2024,Adult,Beaumont Hospital,"24,513","9,977",910,98,"35,497"
25/01/2024,Adult,Cavan General Hospital,"5,588","1,652",22,18,"7,279"
25/01/2024,Adult,Connolly Hospital Blanchardstown,"4,498",239,0,0,"4,737"
25/01/2024,Adult,Coombe Women and Infants University Hospital,"1,370",922,285,60,"2,636"
25/01/2024,Adult,Cork University Hospital,"13,986","7,351","3,463","5,222","30,021"
25/01/2024,Adult,Cork University Maternity Hospital,"2,176",28,2,0,"2,206"
25/01/2024,Adult,Croom Orthopaedic Hospital,"2,951","1,347",255,112,"4,665"
25/01/2024,Adult,Ennis Hospital,480,354,227,5,"1,066"
25/01/2024,Adult,Galway University Hospitals,"20,817","9,212","4,327","7,475","41,830"
25/01/2024,Adult,Letterkenny University Hospital,"7,678","2,203","1,098","1,586","12,565"
25/01/2024,Adult,Louth County Hospital,"1,656",429,5,2,"2,091"
25/01/2024,Adult,Mallow General Hospital,"2,178",851,228,52,"3,308"
25/01/2024,Adult,Mater Misericordiae University Hospital,"22,236","8,233","3,266","5,288","39,024"
25/01/2024,Adult,Mayo University Hospital,"3,716","1,371",462,449,"5,999"
25/01/2024,Adult,Mercy University Hospital,"2,944","1,531",469,697,"5,642"
25/01/2024,Adult,Midland Regional Hospital Mullingar,"4,445","1,842",992,"1,148","8,426"
25/01/2024,Adult,Midland Regional Hospital Portlaoise,"2,137","1,079",447,423,"4,086"
25/01/2024,Adult,Midland Regional Hospital Tullamore,"8,051","2,143",228,0,"10,421"
25/01/2024,Adult,Naas General Hospital,"6,107","2,782",680,159,"9,727"
25/01/2024,Adult,National Maternity Hospital (Holles Street),"2,372",526,7,0,"2,905"
25/01/2024,Adult,National Orthopaedic Hospital Cappagh,"2,889","1,838",530,139,"5,396"
25/01/2024,Adult,Nenagh Hospital,324,256,186,24,790
25/01/2024,Adult,Our Lady of Lourdes Hospital Drogheda,"7,978","2,770",96,52,"10,896"
25/01/2024,Adult,Our Lady's Hospital Navan,"3,288","2,072",510,358,"6,228"
25/01/2024,Adult,Portiuncula University Hospital,"1,840",366,139,121,"2,466"
25/01/2024,Adult,Roscommon University Hospital,"2,244",918,250,291,"3,703"
25/01/2024,Adult,Rotunda Hospital,"3,522",648,0,0,"4,170"
25/01/2024,Adult,Royal Victoria Eye and Ear Hospital,"5,487","2,898","1,535","2,202","12,122"
25/01/2024,Adult,Sligo University Hospital,"7,221","2,112","1,140","1,407","11,880"
25/01/2024,Adult,South Infirmary Victoria University Hospital,"10,725","6,310","2,645","4,132","23,811"
25/01/2024,Adult,St. Columcille's Hospital,"1,902","1,430","1,111","3,404","7,848"
25/01/2024,Adult,St. James's Hospital,"16,083","4,857","1,320","1,312","23,572"
25/01/2024,Adult,St. John's Hospital Limerick,464,261,37,3,765
25/01/2024,Adult,St. Luke's General Hospital Kilkenny,"3,604","1,377",350,109,"5,440"
25/01/2024,Adult,St. Michael's Hospital,"2,588",977,364,236,"4,166"
25/01/2024,Adult,St. Vincent's University Hospital,"17,124","7,172","1,945",560,"26,801"
25/01/2024,Adult,Tallaght University Hospital,"14,201","8,856","4,254","4,435","31,745"
25/01/2024,Adult,Tipperary University Hospital,"2,315",852,133,50,"3,351"
25/01/2024,Adult,University Hospital Kerry,"6,271","2,520",648,117,"9,556"
25/01/2024,Adult,University Hospital Limerick,"14,095","4,579","1,297",702,"20,674"
25/01/2024,Adult,University Hospital Waterford,"17,757","8,863","3,548","4,915","35,083"
25/01/2024,Adult,Wexford General Hospital,"2,761",874,195,83,"3,912"
