ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/04/2021,Adult,Anaesthetics,114,210,292,"1,086","1,702"
29/04/2021,Adult,Breast Surgery,"3,082","1,368",739,911,"6,100"
29/04/2021,Adult,Cardio-Thoracic Surgery,210,27,19,13,269
29/04/2021,Adult,Cardiology,"12,969","6,854","5,481","5,523","30,827"
29/04/2021,Adult,Chemical Pathology,38,18,10,2,68
29/04/2021,Adult,Clinical (Medical) Genetics,952,641,452,51,"2,096"
29/04/2021,Adult,Clinical Immunology,727,174,228,157,"1,286"
29/04/2021,Adult,Clinical Neurophysiology,551,570,419,450,"1,990"
29/04/2021,Adult,Dermatology,"15,909","7,798","5,273","12,961","41,941"
29/04/2021,Adult,Diabetes Mellitus,759,415,356,291,"1,821"
29/04/2021,Adult,Endocrinology,"5,695","2,804","1,876","4,945","15,320"
29/04/2021,Adult,Gastro-Enterology,"8,466","2,818","1,594","1,657","14,535"
29/04/2021,Adult,Gastro-Intestinal Surgery,222,43,39,43,347
29/04/2021,Adult,General Medicine,"8,618","5,580","3,604","4,057","21,859"
29/04/2021,Adult,General Surgery,"26,541","8,688","4,062","4,314","43,605"
29/04/2021,Adult,Geriatric Medicine,"2,006",518,191,268,"2,983"
29/04/2021,Adult,Gynaecology,"17,238","6,638","3,377","4,590","31,843"
29/04/2021,Adult,Haematology,"4,223","1,466",970,"1,424","8,083"
29/04/2021,Adult,Hepato-Biliary Surgery,82,27,4,2,115
29/04/2021,Adult,Immunology,0,2,11,2,15
29/04/2021,Adult,Infectious Diseases,497,53,48,0,598
29/04/2021,Adult,Intensive Care,19,0,0,0,19
29/04/2021,Adult,Maxillo-Facial,"1,177",807,895,"2,862","5,741"
29/04/2021,Adult,Metabolic Medicine,59,49,29,30,167
29/04/2021,Adult,Microbiology,46,0,0,2,48
29/04/2021,Adult,Nephrology,"1,885",565,388,718,"3,556"
29/04/2021,Adult,Neurology,"7,392","4,609","3,252","7,994","23,247"
29/04/2021,Adult,Neurosurgery,"2,237",808,732,"1,112","4,889"
29/04/2021,Adult,Obstetrics,2,0,4,2,8
29/04/2021,Adult,Oncology,456,19,10,2,487
29/04/2021,Adult,Ophthalmology,"13,270","6,514","6,112","14,292","40,188"
29/04/2021,Adult,Oral Surgery,576,383,452,"1,689","3,100"
29/04/2021,Adult,Orthopaedics,"23,039","15,713","12,119","19,113","69,984"
29/04/2021,Adult,Otolaryngology (ENT),"13,580","8,372","7,694","25,862","55,508"
29/04/2021,Adult,Paed Cardiology,7,4,4,8,23
29/04/2021,Adult,Paed Endocrinology,4,4,4,2,13
29/04/2021,Adult,Paediatric ENT,10,4,7,5,26
29/04/2021,Adult,Paediatric Neurology,2,2,8,19,31
29/04/2021,Adult,Paediatric Respiratory Medicine,2,4,2,0,8
29/04/2021,Adult,Paediatrics,61,38,27,19,145
29/04/2021,Adult,Pain Relief,"3,600","2,283","2,067","4,820","12,770"
29/04/2021,Adult,Pathology,58,43,32,43,176
29/04/2021,Adult,Plastic Surgery,"5,049","2,950","2,267","5,769","16,035"
29/04/2021,Adult,Psychiatry,279,51,17,2,349
29/04/2021,Adult,Radiology,14,2,2,2,20
29/04/2021,Adult,Radiotherapy,56,0,0,0,56
29/04/2021,Adult,Rehabilitation Medicine,15,0,0,0,15
29/04/2021,Adult,Respiratory Medicine,"6,386","3,398","3,244","5,911","18,939"
29/04/2021,Adult,Rheumatology,"6,608","3,575","2,675","6,807","19,665"
29/04/2021,Adult,Small Volume Specialities,6,2,2,0,10
29/04/2021,Adult,Urology,"10,067","5,480","4,800","10,826","31,173"
29/04/2021,Adult,Vascular Surgery,"4,758","3,146","2,160","4,200","14,264"
29/04/2021,Child,Anaesthetics,0,2,2,2,6
29/04/2021,Child,Breast Surgery,14,4,7,0,25
29/04/2021,Child,Cardio-Thoracic Surgery,73,30,16,8,127
29/04/2021,Child,Cardiology,44,25,23,7,99
29/04/2021,Child,Chemical Pathology,8,0,2,0,10
29/04/2021,Child,Child/Adolescent Psychiatry,27,0,4,0,31
29/04/2021,Child,Clinical (Medical) Genetics,403,294,356,904,"1,957"
29/04/2021,Child,Clinical Immunology,250,124,187,"1,151","1,712"
29/04/2021,Child,Dental Surgery,104,62,127,193,486
29/04/2021,Child,Dermatology,"1,221",622,488,"1,063","3,394"
29/04/2021,Child,Developmental Paediatrics,219,52,89,306,666
29/04/2021,Child,Diabetes Mellitus,4,4,0,0,7
29/04/2021,Child,Endocrinology,12,4,2,2,19
29/04/2021,Child,Gastro-Enterology,20,4,2,2,27
29/04/2021,Child,General Medicine,24,8,4,2,37
29/04/2021,Child,General Surgery,870,472,264,281,"1,887"
29/04/2021,Child,Gynaecology,327,127,47,20,521
29/04/2021,Child,Haematology,51,15,4,0,70
